2018/01/01,20.00
2018/04/25,15.58
2018/04/26,18.579999999999998
2018/04/27,13.02
2018/04/28,13.59
2018/04/30,13.59
2018/05/03,19.649999999999999
2018/05/04,19.100000000000001
2018/05/11,81.760000000000005
2018/05/14,85.230000000000004
2018/05/15,89.769999999999996
2018/05/16,82.439999999999998
2018/05/17,83.079999999999998
2018/05/21,80.670000000000002
2018/05/22,86.079999999999998
2018/06/06,81.939999999999998
2018/06/07,87.579999999999998
2018/06/08,87.890000000000001
2018/06/11,83.299999999999997
2018/06/22,19.68
2018/06/25,18.48
2018/06/26,11.77
2018/06/27,19.640000000000001
2018/06/28,12.41
2018/06/29,13.460000000000001
2018/07/05,19.920000000000002
2018/07/06,19.18
2018/07/19,81.150000000000006
2018/07/20,82.549999999999997
2018/07/23,82.480000000000004
2018/07/24,84.150000000000006
2018/07/25,88.780000000000001
2018/07/26,90.459999999999994
2018/07/27,94.120000000000005
2018/07/30,95.209999999999994
2018/07/31,81.150000000000006
2018/08/01,93.620000000000005
2018/08/02,91.609999999999999
2018/08/16,19.149999999999999
2018/08/20,19.559999999999999
